S.No.,API Name,URI,Ulink Response Code,New Response Code
1,CheckDuplicateUser,/UTLROnlineRemitAPI/Security/CheckDuplicateUser,00000000,
,,,59906002,
,,,59906005,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50107007,
,,,,
2,SignupSecurityQuestionsList,/UTLROnlineRemitAPI/ProfileManagement/SignupSecurityQuestions,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,,
3,Signup,/UTLROnlineRemitAPI/Security/v2/Signup,00000000,
,,,59906002,
,,,59906005,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50107007,
,,,50107004,
,,,50107005,
,,,,
4,Add Beneficiary,/UTLROnlineRemitAPI/ProfileManagement/AddBeneficiary,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,59903008,
,,,59908013,
,,,59903006,
,,,50105008,
,,,59903007,
,,,,
5,BeneficiarySummaryList,/UTLROnlineRemitAPI/ProfileManagement/BeneficiarySummaryList,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,,
6,BeneficiaryDetail,/UTLROnlineRemitAPI/ProfileManagement/BeneficiaryDetail,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,59903002,
,,,,
7,EditBeneficiary,/UTLROnlineRemitAPI/ProfileManagement/EditBeneficiary,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,59903002,
,,,59903008,
,,,50105008,
,,,,
8,DeactivateBeneficiary,/UTLROnlineRemitAPI/ProfileManagement/DeactivateBeneficiary,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,59903002,
,,,,
9,SendingMethodSummaryList,/UTLROnlineRemitAPI/ProfileManagement/SendingMethodSummaryList,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,,
10,CurrentExchangeRate,/UTLROnlineRemitAPI/Remittance/CurrentExchangeRate,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903006,
,,,59903007,
,,,,
11,ExternalQuickQuotes, /UTLROnlineRemitAPI/Common/ExternalQuickQuotes,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903008,
,,,59903006,
,,,59903007,
,,,,
12,UserCreditLimit,/UTLROnlineRemitAPI/Remittance/UserCreditLimit,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,,
13,UserComplianceLimit,/UTLROnlineRemitAPI/Remittance/UserComplianceLimit,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,,
14,SendMoneyPreview,/UTLROnlineRemitAPI/Remittance/SendMoneyPreview,00000000,
,,,59903005,
,,,59906002,
,,,50103003,
,,,50108004,
,,,59903001,
,,,50105002,
,,,59903002,
,,,59903007,
,,,51102903,
,,,50105003,
,,,59903003,
,,,51107002,
,,,51104002,
,,,51104003,
,,,51104004,
,,,51107001,
,,,51102904,
,,,50105004,
,,,51108002,
,,,51104001,
,,,59905003,
,,,59905004,
,,,59906004,
,,,19906005,
,,,19906002,
,,,,
15,SendMoneyConfirm,/UTLROnlineRemitAPI/Remittance/SendMoneyConfirm,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,59904001,
,,,59906005,
,,,51103002,
,,,50102010,
,,,51102001,
,,,51108001,
,,,59906005,
,,,51102002,
,,,,
16,CancelTransaction,/UTLROnlineRemitAPI/Remittance/v2/CancelTransaction,00000000,
,,,59903005,
,,,59906002,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,51103001,
,,,51104010,
,,,51104011,
,,,51102005,
,,,51104012,
,,,59906005,
,,,51102004,
,,,51104013,
,,,,
17,TransactionSummary , /UTLROnlineRemitAPI/Remittance/TransactionSummaryList,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,59903003,
,,,50105002,
,,,,
18,TransactionDetail,/UTLROnlineRemitAPI/Remittance/TransactionDetail,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,51103001,
,,,,
19,TransactionReceipt,UTLROnlineRemitAPI/Remittance/TransactionReceipt,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,51103001,
,,,,
,Security API Resources,,,
,,,,
20,ResendUIC,/UTLROnlineRemitAPI/Security/v2/ResendUic,00000000,
,,,59903005,
,,,59906002,
,,,50103003,
,,,50108004,
,,,59903001,
,,,50105002,
,,,50105003,
,,,50105004,
,,,50102010,
,,,,
21,UserProfileInfo, /UTLROnlineRemitAPI/ProfileManagement/UserProfileInfo,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,,
22,EditUserProfileInfo,/UTLROnlineRemitAPI/ProfileManagement/EditUserProfile,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,50105002,
,,,59902003,
,,,,
23,TxSMSAlert, /UTLROnlineRemitAPI/Remittance/TxSMSAlert,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,50108004,
,,,51103002,
,,,50105002,
,,,,
24,LicensedStates,/UTLROnlineRemitAPI/Common/LicensedStates,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,,
25,v2/DestCountries, /UTLROnlineRemitAPI/Common/v2/DestCountries,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,,
26,DestCountries,/UTLROnlineRemitAPI/Common/DestCountries,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,,
27,CountryStates,/UTLROnlineRemitAPI/Common/CountryStates,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903006,
,,,,
28,CountryCurrencies, /UTLROnlineRemitAPI/Common/CountryCurrencies,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903006,
,,,,
29,DestCountryWithCurrency,/UTLROnlineRemitAPI/Common/DestCountryWithCurrency,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,,
30,PayerWithReceptionMethodsList," /UTLROnlineRemitAPI/Common/v2/PayerWithReceptionMethodsList
",00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903006,
,,,59903007,
,,,,
31,PayerBranches,/UTLROnlineRemitAPI/Common/PayerBranches,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903006,
,,,59903007,
,,,59903008,
,,,,
32,getPayerDetails(),/UTLROnlineRemitAPI/Common/PayerDetails,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903008,
,,,,
33,PayerAdditionalFields,"/UTLROnlineRemitAPI/Common/v2/PayerAdditionalField
",00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903008,
,,,59903006,
,,,59903007,
,,,,
34,SyncTxStatus,/UTLROnlineRemitAPI/Common/SyncTxStatus,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,51103001,
,,,59902003,
,,,,
35,StateDisclaimer,/UTLROnlineRemitAPI/Common/StateDisclaimer,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,,
36,Transaction Search,/UTLROnlineRemitAPI/Remittance/transactions/search,,