ResponseCode,Exception Class Name
00000000,ULinkSuccessException
59906002,ULinkInternalServerErrorException
59906004,ULinkApplicationException
59906005,ULinkNetworkException
59907006,ULinkAuthFailureException
50103003,ULinkInSuifficientDataException
59903001,ULinkInvalidPartnerCodeException
51102001,ULinkDuplicateTxnException
51102002,ULinkTxnNotCreatedException
59902003,ULinkNoChangeRequiredException
51108001,ULinkPaymentFailedException
51108002,ULinkTxnAlreadyConfirmedException
51108002,ULinkTxnAlreadyConfirmedException
51104010,ULinkTxnNotPayableException
50108004,ULinkSessionExpiredException
50105002,ULinkUserPasswordMismatchException
50107003,ULinkPasswordExpiredException
50105005,ULinkDeviceNotRegisteredException
50107004,ULinkBlackListedException
50107005,ULinkFraudException
50104001,ULinkUserLockedOutException
50102001,ULinkEmailNotSentException
50102002,ULinkUserPendingException
50102003,ULinkUserAlreadyActiveException
50102004,ULinkUserProvisionalActiveException
50102005,ULinkUserInformationVerificationSuccessException
50102006,ULinkUserSecurityQuestionsRequiredException
50102007,ULinkUserProfileAlreadySetupException
50102008,ULinkUserSecurityQuestionValidException
50102009,ULinkUserUICValidException
50102010,ULinkUserUICSentSuccessException
50104004,ULinkUserPasswordNotMatchException
50104008,ULinkUserPasswordPreviouslyUsedException
50104009,ULinkUserPasswordPatternNotMatchException
50104010,ULinkUserEmailPatternNotMatchException
51102903,ULinkRemitterVelocityCheckException
51102904,
51104001,ULinkUserLimitExceededException
51104002,ULinkUserBankAccountNotVerifiedException
51104003,ULinkUserCreditCardNotVerifiedException
51104004,ULinkUserDebitCardNotVerifiedException
51104005,ULinkUserUlinkCardNotVerifiedException
51104006,ULinkUserBankAccountLimitExceededException
51104007,ULinkUserCreditCardLimitExceededException
51104008,ULinkUserDebitCardLimitExceededException
51104009,ULinkUserUlinkCardLimitExceededException
50105001,ULinkUserPasswordExpiredException
50103003,ULinkInSuifficientReqDataException
59903005,ULinkInvalidReqDataException
59903002,ULinkInvalidBeneIdException
59903003,ULinkInvalidSendingMethodException
59908001,ULinkBankAccountAlreadyExistsException
59908002,ULinkBankAccountAlreadyAddedException
59908003,ULinkCreditCardNumberLimitExceededException
59908004,ULinkDebitCardNumberLimitExceededExceptio
59908005,ULinkSendingMethodNumberLimitExceededException
59908013,ULinkBeneNumberLimitExceededException
59908006,ULinkCreditCardAlreadyExistsException
59908007,ULinkDebitCardAlreadyExistsException
59908008,ULinkCreditCardAlreadyAddedException
59908009,ULinkDebitCardAlreadyAddedException
59908010,ULinkCVVNotMatchException
59908011,ULinkAVSNotMatchException
59908012,ULinkUserBankAccountLockedException
59908014,ULinkUserCreditCardLockedException
59908019,ULinkUserDebitCardLockedException
59908015,ULinkUserBankAccountNotAllowedException
59908016,ULinkUserDebitCardNotAllowedException
59908017,ULinkUserCreditCardNotAllowedException
50105003,ULinkUserNotActiveException
50105004,ULinkUserSuspendedOrLockedException
50107002,ULinkUserTempPasswordNeedToBeChangedException
50107006,ULinkUserSecurityAnswerNotMatchException
51103001,ULinkInvalidTxnNumberException
59903006,ULinkInvalidCountryCodeException
59903007,ULinkInvalidCurrencyException
59903008,ULinkInvalidPayerException
51103002,ULinkInvalidTxnInternalReferenceException
59902004,ULinkSendingMethodAlreadyVerifiedException
51104011,ULinkCancellationNotAllowedException
51102004,ULinkTxnAlreadyCancelledException
51102005,ULinkTxnCancellationPendingException
51104012,ULinkTxnNotInPendingStatusException
51104013,ULinkTxnDoesNotExistException
50107007,ULinkUserAlreadyExistsException
50108001,ULinkUserPersonalInfoNotCompletedException
50105007,ULinkUserOnlyOneWayToProvideDocumentsException
50105008,ULinkPayerRequiresBranchInfoException
51107001,ULinkTxnInPaymentProcessingException
59905001,ULinkApplicationMustBeUpdatedException
59902005,ULinkPinRequiredException
59902901,ULinkApplicationMustBeUpdatedException
50202001,ULinkDocumentImageRequiredException
50201002,ULinkDocumentVerificationUnderReviewException
50205002,ULinkDocumentVerificationByUnitellerCustomerCareException
51107002,ULinkTxnCaughtInVelocityRulesException
50107008,ULinkUserAlreadyLoginException
59905002,ULinkMFARequiredException
59905003,ULinkBeneAdditionalFieldRequiredException
59905004,ULinkTxnAdditionalFieldRequiredException
50107001,ULinkRemitterPasswordResetRequiredException
59905001,ULinkNeedToUpdateAppException
19906002,ULinkInvalidTokenException
19906005,ULinkNoServiceException